route_num_1,route_num_2,stop_id,pattern_id_1,pattern_id_2
"169","166","57457","20169021","11166051"
"1","14","0","20001037","21014607"
"1","14","0","20001037","21014605"
"346","347","17010","20346008","11347009"
"43","44","29380","11043048","11044011"
"43","44","29380","11043043","11044011"
"44","43","10911","20044009","20043030"
"44","43","10911","20044006","20043050"
"44","43","10911","20044006","20043038"
"44","43","10911","20044006","20043033"
